model,n,multiclass_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus
H_JOINT_RGB_VESSEL,1331,0.9258250893165326,0.6574485185375957,0.6840375838560516,0.2759350787240425,0.11591185084148785,0.9264161788992699,0.9134220942785174,0.9376369947718105
I_JOINT_RGB_VESSEL_BIOMARKER,1331,0.916247060333475,0.673028084931826,0.6977803272488838,0.2786465519978728,0.11520664343522241,0.9206184093044427,0.9344008636200073,0.8937219080759751
E_RGB_VESSEL_FEATURE_FUSION,1331,0.9328413301919772,0.7350486473543607,0.7245707274520834,0.24858956029961063,0.09214218518407216,0.927663560128152,0.9354324097397144,0.9354280207080656
G_RGB_VESSEL_SCALAR_FUSION,1331,0.9348803375026277,0.7388945424104606,0.7291626050462439,0.24651481193978736,0.09207962474079648,0.9300357728511488,0.9367038503058653,0.9379013893508688
