multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus,model,source,n
,,0.6783012970776684,0.6995316498479069,0.15092350688992584,0.07050444767365169,0.9207844975777465,,0.92223784966401,H_JOINT_RGB_VESSEL,plus,889
,,0.49320987654320986,0.47334123222748814,0.18781094920038047,0.09308856879900493,0.8724566338490389,,0.8726832317549618,I_JOINT_RGB_VESSEL_BIOMARKER,plus,889
,,0.7201359587435536,0.4882041895464715,0.13562219002027218,0.053584781046119176,0.8985779027973122,,0.9091576808876386,E_RGB_VESSEL_FEATURE_FUSION,plus,889
,,0.7195186747929364,0.7286070735152252,0.13629852378568744,0.052189312857142844,0.9089076418190343,,0.9154242850445382,G_RGB_VESSEL_SCALAR_FUSION,plus,889
0.8326864183737596,0.8326864183737596,0.6877388645681327,0.6502064057558713,0.5510720245807998,0.26649493315945505,0.7941154224340066,0.7102672292545711,0.993676603432701,H_JOINT_RGB_VESSEL,farfum_rop,230
0.873054933882664,0.873054933882664,0.7565318601903966,0.7495556313850917,0.41320305670671276,0.1716096611126609,0.8465320323727403,0.7846343178621659,0.9879984514130856,I_JOINT_RGB_VESSEL_BIOMARKER,farfum_rop,230
0.8732939311960001,0.8732939311960001,0.7406278229448962,0.7350613217612841,0.4159249628446431,0.16984720565217393,0.8525830118750473,0.78665611814346,0.9806426635694928,E_RGB_VESSEL_FEATURE_FUSION,farfum_rop,230
0.8703209921432865,0.8703209921432865,0.7342175665346398,0.7299793158179707,0.42731524445374625,0.1703032699130435,0.8528099236063837,0.7813818565400844,0.9767711962833914,G_RGB_VESSEL_SCALAR_FUSION,farfum_rop,230
0.8259870323447371,0.8259870323447371,0.624200364517615,0.6271823001286848,0.5016605023725123,0.17272186419873867,0.8363636363636364,0.7381535947712419,0.9034438658993331,H_JOINT_RGB_VESSEL,farabi,212
0.8298572855849624,0.8298572855849624,0.6421027859560575,0.643631436314363,0.5135751123938043,0.17694681320550307,0.8489866821077012,0.7502042483660131,0.8903809262811729,I_JOINT_RGB_VESSEL_BIOMARKER,farabi,212
0.8214372148966437,0.8214372148966437,0.6094924793206352,0.6128836807569839,0.5407633791343955,0.21654679900943385,0.8181818181818181,0.7473447712418301,0.898785055266283,E_RGB_VESSEL_FEATURE_FUSION,farabi,212
0.8328758318426703,0.8328758318426703,0.6374762162270424,0.6393526152562297,0.5125439661416,0.19889702688679256,0.8295309785755645,0.768484477124183,0.9006120398282634,G_RGB_VESSEL_SCALAR_FUSION,farabi,212
