source,biomarker,n,mean,std,median,iqr,smd_vs_train
plus,vessel_density_fov,5925,0.107239447734858,0.0337973787701339,0.1061137631563812,0.04451564888536831,
plus,skel_density_fov,5925,0.022081162938163118,0.010602167647406253,0.0202358517738258,0.011673634429559,
plus,fractal_d0,5925,1.3346842729872774,0.08193813303896265,1.346906838709479,0.10053212083961682,
plus,fractal_d1,5925,1.3084984028350075,0.08273045533983361,1.3215205020902785,0.0967136434714515,
plus,fractal_d2,5925,1.2958539643065663,0.08260766145256752,1.3088608078062454,0.09501445533159836,
farfum_rop,vessel_density_fov,1528,0.08550939968082755,0.032938150317920814,0.08141246973938135,0.0385540447368692,
farfum_rop,skel_density_fov,1528,0.015806089333678688,0.009525050914076936,0.0137941072098667,0.008028276375668521,
farfum_rop,fractal_d0,1528,1.2816968545917604,0.07764786554377898,1.2871761019812622,0.09934210397025534,
farfum_rop,fractal_d1,1528,1.2628660794517492,0.07814352304172587,1.2706453836348626,0.100398803621907,
farfum_rop,fractal_d2,1528,1.2544380138497602,0.07797769459236512,1.262181509831379,0.09825183304991647,
farabi,vessel_density_fov,1409,0.0672529155638853,0.025187003222471836,0.0661331005667267,0.03318521172859821,
farabi,skel_density_fov,1409,0.01057263860934235,0.004370646007822391,0.0101394751330519,0.005266006083499799,
farabi,fractal_d0,1409,1.2426855374474295,0.08328556761049676,1.2458267942712569,0.1145660115623004,
farabi,fractal_d1,1409,1.2265032670384004,0.08536258877823512,1.2310732424944175,0.11447055746190515,
farabi,fractal_d2,1409,1.2188933901522399,0.08548770398092921,1.2255805508248303,0.11414662152159338,
HELDOUT::plus,vessel_density_fov,5925,0.107239447734858,0.0337973787701339,0.1061137631563812,0.04451564888536831,0.9881521049066274
HELDOUT::plus,skel_density_fov,5925,0.022081162938163118,0.010602167647406253,0.0202358517738258,0.011673634429559,1.1051369200389531
HELDOUT::plus,fractal_d0,5925,1.3346842729872774,0.08193813303896265,1.346906838709479,0.10053212083961682,0.8667048104679417
HELDOUT::plus,fractal_d1,5925,1.3084984028350075,0.08273045533983361,1.3215205020902785,0.0967136434714515,0.7537698071721864
HELDOUT::plus,fractal_d2,5925,1.2958539643065663,0.08260766145256752,1.3088608078062454,0.09501445533159836,0.6995882589069736
HELDOUT::farfum_rop,vessel_density_fov,1528,0.08550939968082755,0.032938150317920814,0.08141246973938135,0.0385540447368692,-0.3906928371903073
HELDOUT::farfum_rop,skel_density_fov,1528,0.015806089333678688,0.009525050914076936,0.0137941072098667,0.008028276375668521,-0.3789146218827978
HELDOUT::farfum_rop,fractal_d0,1528,1.2816968545917604,0.07764786554377898,1.2871761019812622,0.09934210397025534,-0.39308530453530716
HELDOUT::farfum_rop,fractal_d1,1528,1.2628660794517492,0.07814352304172587,1.2706453836348626,0.100398803621907,-0.3346317246898655
HELDOUT::farfum_rop,fractal_d2,1528,1.2544380138497602,0.07797769459236512,1.262181509831379,0.09825183304991647,-0.30082982545538156
HELDOUT::farabi,vessel_density_fov,1409,0.0672529155638853,0.025187003222471836,0.0661331005667267,0.03318521172859821,-1.0225286579319413
HELDOUT::farabi,skel_density_fov,1409,0.01057263860934235,0.004370646007822391,0.0101394751330519,0.005266006083499799,-0.9557920055584913
HELDOUT::farabi,fractal_d0,1409,1.2426855374474295,0.08328556761049676,1.2458267942712569,0.1145660115623004,-0.967606024642847
HELDOUT::farabi,fractal_d1,1409,1.2265032670384004,0.08536258877823512,1.2310732424944175,0.11447055746190515,-0.8662061955246909
HELDOUT::farabi,fractal_d2,1409,1.2188933901522399,0.08548770398092921,1.2255805508248303,0.11414662152159338,-0.8212376601603698
