held_out_source,B_LOSO_auc3,B_LOSO_restricted_binary_auc,B_LOSO_balanced_accuracy,B_LOSO_macro_f1,B_LOSO_auc_used,B_LOSO_degradation_vs_canonical,E_LOSO_auc3,E_LOSO_restricted_binary_auc,E_LOSO_balanced_accuracy,E_LOSO_macro_f1,E_LOSO_auc_used,E_LOSO_degradation_vs_canonical,G_LOSO_auc3,G_LOSO_restricted_binary_auc,G_LOSO_balanced_accuracy,G_LOSO_macro_f1,G_LOSO_auc_used,G_LOSO_degradation_vs_canonical,delta_E_minus_B_auc,delta_G_minus_E_auc
plus,,0.9838243794978663,0.8886543562055071,0.8679208114059452,0.9838243794978663,0.058921379497866244,,0.9845785273108376,0.9019694369758309,0.8887237534477685,0.9845785273108376,0.05173752731083758,,0.9841322321075091,0.9028533747203824,0.8885832747461146,0.9841322321075091,0.049252232107509064,0.0007541478129713397,-0.00044629520332850614
farfum_rop,0.7875370112781918,,0.6328400227284467,0.6338783703687039,0.7875370112781918,-0.13736598872180827,0.8097790006662761,,0.6635160748131459,0.6589655294903555,0.8097790006662761,-0.12306199933372397,0.8061976238424267,,0.657584427040494,0.6514236796243681,0.8061976238424267,-0.12868237615757339,0.022241989388084304,-0.0035813768238494026
farabi,0.7699439273173366,,0.5598275475861736,0.5320855846715713,0.7699439273173366,-0.1549590726826634,0.7828978568034796,,0.5860404237959663,0.5720472429461094,0.7828978568034796,-0.14994314319652047,0.7844768717564466,,0.5746243673381288,0.5630770231176842,0.7844768717564466,-0.1504031282435534,0.012953929486142934,0.0015790149529670838
