n,classes_present,multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier_multiclass_3col,ece,auc_Normal,auc_Pre_Plus,auc_Plus,restricted_binary_auc,restricted_pair,brier_restricted_2class,held_out_source,model,train_sources,n_train
5925,"[0, 2]",,,0.8886543562055071,0.8679208114059452,0.1308097492108765,0.0324123143194094,0.9693434663596641,,0.9838243794978663,0.9838243794978663,Normal_vs_Plus,0.07974056380830304,plus,B_LOSO,farfum_rop+farabi,2937
5925,"[0, 2]",,,0.9019694369758309,0.8887237534477685,0.10454493773780033,0.01657708888818441,0.9729314369126816,,0.9845785273108376,0.9845785273108376,Normal_vs_Plus,0.06570260905371283,plus,E_LOSO,farfum_rop+farabi,2937
5925,"[0, 2]",,,0.9028533747203824,0.8885832747461146,0.09691062192493358,0.017139921444880826,0.9706788605445893,,0.9841322321075091,0.9841322321075091,Normal_vs_Plus,0.06617870529524071,plus,G_LOSO,farfum_rop+farabi,2937
1528,"[0, 1, 2]",0.7875370112781918,0.7875370112781918,0.6328400227284467,0.6338783703687039,0.5475088440481967,0.2143011322118225,0.7452085904291786,0.6588762701733413,0.9585261732320555,,,,farfum_rop,B_LOSO,plus+farabi,7334
1528,"[0, 1, 2]",0.8097790006662761,0.8097790006662761,0.6635160748131459,0.6589655294903555,0.5106849507139544,0.18318576328651442,0.7779925956396545,0.6896194461048017,0.9617249602543719,,,,farfum_rop,E_LOSO,plus+farabi,7334
1528,"[0, 1, 2]",0.8061976238424267,0.8061976238424267,0.657584427040494,0.6514236796243681,0.5204126784547822,0.19906852222706012,0.7723279171808585,0.6837656903765691,0.9624992639698522,,,,farfum_rop,G_LOSO,plus+farabi,7334
1409,"[0, 1, 2]",0.7699439273173366,0.7699439273173366,0.5598275475861736,0.5320855846715713,0.6484283465402606,0.2582890581077849,0.7794793621013133,0.6663591977140956,0.8639932221366011,,,,farabi,B_LOSO,plus+farfum_rop,7453
1409,"[0, 1, 2]",0.7828978568034796,0.7828978568034796,0.5860404237959663,0.5720472429461094,0.6187126346719254,0.23910735497836783,0.7774624765478424,0.7001368583608437,0.8710942355017526,,,,farabi,E_LOSO,plus+farfum_rop,7453
1409,"[0, 1, 2]",0.7844768717564466,0.7844768717564466,0.5746243673381288,0.5630770231176842,0.613727141598047,0.24718480367369478,0.780373149885345,0.7009274928103123,0.8721299725736824,,,,farabi,G_LOSO,plus+farfum_rop,7453
