comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
E_minus_B_plus,restricted_binary_auc,0.0007541478129713397,-0.001368706934030839,0.0027831287661849225,0.4847,True,10000,42
E_minus_B_plus,balanced_accuracy,0.013315080770323728,0.003798518664247519,0.023063636686558697,0.0069,False,10000,42
E_minus_B_plus,macro_f1,0.020802942041823314,0.011669919706872504,0.030019097300298333,0.0,False,10000,42
E_minus_B_plus,brier_restricted_2class,-0.014037954754590201,-0.018415398465791353,-0.009730013015575103,0.0,False,10000,42
E_minus_B_plus,ece,-0.015835225431224988,-0.02121585750416361,-0.010332094356857795,0.0,False,10000,42
G_minus_E_plus,restricted_binary_auc,-0.00044629520332850614,-0.0019819377955567876,0.0010996850430993433,0.5705,True,10000,42
G_minus_E_plus,balanced_accuracy,0.0008839377445515328,-0.0049406700621533765,0.006425740121392298,0.7613,True,10000,42
G_minus_E_plus,macro_f1,-0.00014047870165390108,-0.006112854293765013,0.005829360584060263,0.9599,True,10000,42
G_minus_E_plus,brier_restricted_2class,0.00047609624152787633,-0.0018887294790091655,0.0027584290619078926,0.6896,True,10000,42
G_minus_E_plus,ece,0.0005628325566964139,-0.004407507110874334,0.004259992155470385,0.799,True,10000,42
E_minus_B_farfum_rop,multiclass_auc,0.022241989388084304,0.014801521392994682,0.02990740186676829,0.0,False,10000,42
E_minus_B_farfum_rop,balanced_accuracy,0.030676052084699146,0.014125575661489068,0.04701325561158196,0.0005,False,10000,42
E_minus_B_farfum_rop,macro_f1,0.025087159121651603,0.007679310872015191,0.04219903956972056,0.0051,False,10000,42
E_minus_B_farfum_rop,brier_multiclass_3col,-0.0368238933342423,-0.0540756832812426,-0.019765314719982933,0.0,False,10000,42
E_minus_B_farfum_rop,ece,-0.031115368925308085,-0.04781054057844019,-0.012180326380206207,0.0008,False,10000,42
G_minus_E_farfum_rop,multiclass_auc,-0.0035813768238494026,-0.00823328468091172,0.0011893626228324117,0.1339,True,10000,42
G_minus_E_farfum_rop,balanced_accuracy,-0.005931647772651871,-0.019128391882924683,0.00789436040482061,0.3864,True,10000,42
G_minus_E_farfum_rop,macro_f1,-0.007541849865987382,-0.021019101262920583,0.006534869107709778,0.2794,True,10000,42
G_minus_E_farfum_rop,brier_multiclass_3col,0.009727727740827863,-0.0013938953270453162,0.02069256121634629,0.0805,True,10000,42
G_minus_E_farfum_rop,ece,0.015882758940545694,0.001684085285066725,0.029108482231117835,0.0246,False,10000,42
E_minus_B_farabi,multiclass_auc,0.012953929486142934,0.004983764160004905,0.021018551135407196,0.0018,False,10000,42
E_minus_B_farabi,balanced_accuracy,0.026212876209792735,0.006431017199070971,0.04594420975815318,0.0082,False,10000,42
E_minus_B_farabi,macro_f1,0.039961658274538125,0.01867066474335351,0.060945054830717056,0.0001,False,10000,42
E_minus_B_farabi,brier_multiclass_3col,-0.029715711868335215,-0.048598880505779506,-0.010733049113011546,0.0016,False,10000,42
E_minus_B_farabi,ece,-0.019181703129417083,-0.03615283025250187,0.002723945523932756,0.0582,True,10000,42
G_minus_E_farabi,multiclass_auc,0.0015790149529670838,-0.002784906242825219,0.005956371785567567,0.4839,True,10000,42
G_minus_E_farabi,balanced_accuracy,-0.011416056457837498,-0.02673242756824052,0.004111352853490024,0.1429,True,10000,42
G_minus_E_farabi,macro_f1,-0.008970219828425274,-0.02511788540773373,0.007345806098808955,0.2702,True,10000,42
G_minus_E_farabi,brier_multiclass_3col,-0.004985493073878411,-0.015615813505344352,0.005440849847718742,0.3553,True,10000,42
G_minus_E_farabi,ece,0.00807744869532695,-0.009038326552440457,0.01965975365988154,0.2959,True,10000,42
