comparison,lhs,rhs,metric,lhs_value,rhs_value,delta_lhs_minus_rhs
G_RGB_VESSEL_SCALAR_FUSION vs E_RGB_VESSEL_FEATURE_FUSION,G_RGB_VESSEL_SCALAR_FUSION,E_RGB_VESSEL_FEATURE_FUSION,brier,0.24651481193978736,0.24858956029961063,-0.0020747483598232697
G_RGB_VESSEL_SCALAR_FUSION vs E_RGB_VESSEL_FEATURE_FUSION,G_RGB_VESSEL_SCALAR_FUSION,E_RGB_VESSEL_FEATURE_FUSION,ece,0.09207962474079648,0.09214218518407216,-6.256044327568322e-05
G_RGB_VESSEL_SCALAR_FUSION vs E_RGB_VESSEL_FEATURE_FUSION,G_RGB_VESSEL_SCALAR_FUSION,E_RGB_VESSEL_FEATURE_FUSION,auc_Normal,0.9300357728511488,0.927663560128152,0.0023722127229968137
G_RGB_VESSEL_SCALAR_FUSION vs E_RGB_VESSEL_FEATURE_FUSION,G_RGB_VESSEL_SCALAR_FUSION,E_RGB_VESSEL_FEATURE_FUSION,auc_Pre_Plus,0.9367038503058653,0.9354324097397144,0.0012714405661509165
G_RGB_VESSEL_SCALAR_FUSION vs E_RGB_VESSEL_FEATURE_FUSION,G_RGB_VESSEL_SCALAR_FUSION,E_RGB_VESSEL_FEATURE_FUSION,auc_Plus,0.9379013893508688,0.9354280207080656,0.00247336864280312
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,multiclass_auc,0.9348803375026277,0.9249031083308822,0.009977229171745483
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,balanced_accuracy,0.7388945424104606,0.7234246744430043,0.015469867967456308
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,macro_f1,0.7291626050462439,0.708655713902151,0.020506891144092876
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,brier,0.24651481193978736,0.2762827389459132,-0.02976792700612585
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,ece,0.09207962474079648,0.10281727212622088,-0.010737647385424404
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,auc_Normal,0.9300357728511488,0.9167624694355125,0.013273303415636262
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,auc_Pre_Plus,0.9367038503058653,0.9312822358162408,0.005421614489624527
G_RGB_VESSEL_SCALAR_FUSION vs B_EMBEDDING_ONLY,G_RGB_VESSEL_SCALAR_FUSION,B_EMBEDDING_ONLY,auc_Plus,0.9379013893508688,0.9266646197408932,0.01123676960997555
