comparison,metric,delta,boot_mean_delta,boot_median_delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
E_minus_B,multiclass_auc,0.007938221861095052,0.00788498321051851,0.00788405178587026,0.0026295228146692383,0.01313134335840465,0.0031,False,10000,42
E_minus_B,balanced_accuracy,0.011623972911356417,0.011413579310245617,0.011437267488290992,-0.011994117514671568,0.03484590538093057,0.3278,True,10000,42
E_minus_B,macro_f1,0.01591501354993241,0.015760557849076862,0.01576501132213992,-0.006210521270958183,0.0376551750082455,0.153,True,10000,42
E_minus_B,brier,-0.02769317864630258,-0.027616397733777023,-0.027558948672424574,-0.04395379522186322,-0.011471116654522178,0.0011,False,10000,42
E_minus_B,ece,-0.01067508694214872,-0.011035636520021786,-0.01111969131480088,-0.02607241359391437,0.0038685607391059744,0.1642,True,10000,42
E_minus_B,auc_Normal,0.010901090692639448,0.010857077538967898,0.01086024078105019,0.004578107948809307,0.017218237734814016,0.0009,False,10000,42
E_minus_B,auc_Pre_Plus,0.00415017392347361,0.0040725140937987285,0.004060213506057397,-0.0023391207868537767,0.01072343169005635,0.2107,True,10000,42
E_minus_B,auc_Plus,0.00876340096717243,0.0087253579987889,0.008722888894574787,0.001117067096521049,0.01625173775469291,0.0241,False,10000,42
G_minus_E,multiclass_auc,0.0020390073106504314,0.0020733816708854427,0.0020784557901045164,-0.00027404854460692514,0.0043967572169776,0.09,True,10000,42
G_minus_E,balanced_accuracy,0.0038458950560998906,0.0038427824931705308,0.003720790589693934,-0.012052771834232765,0.02006109979633397,0.6383,True,10000,42
G_minus_E,macro_f1,0.004591877594160465,0.004600460550353105,0.004614253632054477,-0.01053641825626297,0.019581210135381312,0.544,True,10000,42
G_minus_E,brier,-0.0020747483598232697,-0.002173955912834098,-0.0022057515131436167,-0.00923577494870027,0.004947175323679202,0.5707,True,10000,42
G_minus_E,ece,-6.256044327568322e-05,0.0008178885717798614,0.0006769833809166445,-0.009202359634297521,0.0110573791498873,0.9906,True,10000,42
G_minus_E,auc_Normal,0.0023722127229968137,0.002421004878646584,0.0024181688735343543,-0.0004143348175467132,0.00524483686296007,0.1027,True,10000,42
G_minus_E,auc_Pre_Plus,0.0012714405661509165,0.0013110387429531027,0.0013254168166006441,-0.002165047379153129,0.00476805205709501,0.472,True,10000,42
G_minus_E,auc_Plus,0.00247336864280312,0.002488101391056641,0.0024818975001918986,-0.0004818804424772116,0.005445675442860681,0.0999,True,10000,42
