holdout,branch,auc,ci_low,ci_high,n_boot,n_groups,legacy_auc,delta_vs_legacy_run
farabi,A,0.5140213019514375,0.4681113194002463,0.5620845960417176,5000,160,,
farabi,B,0.7370855884933049,0.6777276230828903,0.7915589827596223,5000,160,,
farabi,C,0.7351469784994289,0.6804933237467317,0.7879962058700277,5000,160,,
farfum_rop,A,0.650660862729454,0.5783267920956817,0.7287852035503598,5000,68,0.6811849839063302,-0.030524121176876196
farfum_rop,B,0.8646947359775665,0.7710113364433598,0.950098875931528,5000,68,0.8633816532164015,0.0013130827611650409
farfum_rop,C,0.8530878393044661,0.7550791929172591,0.9439992724445012,5000,68,0.8721427905024024,-0.01905495119793632
plus,A,0.7328077852682782,0.6935639500016766,0.809123685509487,4727,186,0.7747180833364145,-0.04191029806813629
plus,B,0.88756455628641,0.8587333307840482,0.9163010415546669,4727,186,0.8865491921470035,0.001015364139406505
plus,C,0.8607982993228223,0.8243680549924396,0.8883523784243159,4727,186,0.8429078271157615,0.017890472207060748
