holdout,branch,auc,sensitivity,specificity,f1,n_test,best_model,ci_low,ci_high,n_groups
farabi,A,0.5140213019514375,0.2295918367346938,0.8077858880778589,0.3064699205448354,1410.0,mlp,0.4681113194002463,0.5620845960417176,160
farabi,B,0.7370855884933049,0.5697278911564626,0.8004866180048662,0.6163753449862005,1410.0,,0.6777276230828903,0.7915589827596223,160
farabi,C,0.7351469784994289,0.7159863945578231,0.6094890510948905,0.6330827067669172,1410.0,xgboost,0.6804933237467317,0.7879962058700277,160
farfum_rop,A,0.6811849839063302,0.3602941176470588,0.8691514670896114,0.3663551401869159,1533.0,lightgbm,0.5783267920956817,0.7287852035503598,68
farfum_rop,B,0.8633816532164015,0.7352941176470589,0.8437747819191118,0.5979073243647235,,,0.7710113364433598,0.950098875931528,68
farfum_rop,C,0.8721427905024024,0.8382352941176471,0.7153053132434576,0.5308498253783469,,xgboost,0.7550791929172591,0.9439992724445012,68
plus,A,0.7747180833364145,0.9491255961844196,0.2548837209302325,0.22825463582489,6004.0,lightgbm,0.6935639500016766,0.809123685509487,186
plus,B,0.8865491921470035,0.8060413354531002,0.7916279069767442,0.449468085106383,,,0.8587333307840482,0.9163010415546669,186
plus,C,0.8429078271157615,0.7297297297297297,0.7828837209302325,0.4070953436807095,,xgboost,0.8243680549924396,0.8883523784243159,186
