camera,n,dice,cldice,precision,recall
Neo,50,0.4889098433051089,0.5460795649698964,0.5059583976340586,0.4888560460063954
RetCam,50,0.7540231676529561,0.875054021313523,0.708549686067475,0.8137785624926842
pooled,100,0.6214665054790325,0.7105667931417098,0.6072540418507668,0.6513173042495398
