camera,feature,n_evaluable,expert_mean,expert_sd,expert_median,expert_iqr,auto_mean,icc21,icc_lo,icc_hi,bias,loa_lo,loa_hi,mae,median_ae,spearman,between_image_var,error_var,mae_over_sd
RetCam,tort_geodesic_median,50,1.083763352412379,0.010661494661775206,1.0819016881047852,0.0036362844149204765,1.084964784738426,0.257539261321467,-0.021519857013733736,0.482553785713186,0.0012014323260469606,-0.019907913328859116,0.022310777980953034,0.006330322615956234,0.003970648220538275,0.28872935074913564,0.00011366746842306121,0.00011599450072321483,0.5937556427854737
RetCam,tort_geodesic_p90,50,1.146531115932052,0.04286531876094024,1.1313500745949832,0.04964688695781749,1.1404973665637075,0.30912222317126425,0.037110727699799666,0.5646355112566834,-0.006033749368344154,-0.08212639028525441,0.07005889154856611,0.02712422530691907,0.0184434214425907,0.2844177671068427,0.0018374355524770154,0.0015072079346391727,0.6327778747707626
RetCam,vessel_density_fov,50,0.09641205821838585,0.03867313212792152,0.0996322967642187,0.05170917242540071,0.11218699305346382,0.8718601457831232,0.7891897877239877,0.9945955905324717,0.015774934835077973,-0.017552344965592766,0.04910221463574871,0.019203817161269555,0.019483042719737123,0.9421848739495798,0.0014956111485836757,0.00028912629605169613,0.4965674126871311
RetCam,skel_density_fov,50,0.016355524383317138,0.007084612304089484,0.01746316718841448,0.010434290191068715,0.0148052425149318,0.9328941065500257,0.8857363267786421,0.9984320465675447,-0.0015502818683853375,-0.0054877769530098765,0.002387213216239202,0.0016129116334303822,0.0013338643186194478,0.9506362545018008,5.019173149925611e-05,4.0357839289468995e-06,0.22766406462345917
RetCam,tort_geodesic_top3_mean,50,1.3399261794179498,0.3532772164674697,1.2107409090203745,0.16433016723742444,1.224198311613481,0.20683962772328557,-0.04888926443158844,0.4021686354277264,-0.11572786780446886,-0.741624940619129,0.5101692050101913,0.16173487971936043,0.040944041755060834,0.6630972388955582,0.12480479167500343,0.10197499629268011,0.457812936074957
RetCam,n_branches,50,67.7,42.3870648347597,66.0,51.0,77.74,0.7382318753283493,0.5836322385780869,0.9582578380517447,10.04,-49.6715476938925,69.75154769389249,22.84,16.5,0.834270353212417,1796.6632653061224,928.1208163265304,0.5388436328167256
RetCam,width_shape_p90_over_p50,50,1.3032600384055635,0.1536109032530046,1.289297679719363,0.13115930433743794,1.6373360248714561,0.05447340830632408,-0.0470828331811922,0.11793966847932726,0.3340759864658926,-0.1533303951807159,0.8214823681125011,0.3469638330809518,0.3100461608893629,0.15681114433655716,0.023596309598203944,0.06184011372080367,2.2587187870999337
RetCam,fractal_d0,50,1.4125859700925891,0.09404936925533902,1.447337027880062,0.13102572196206586,1.3942749456995838,0.9399443412981661,0.8972377185621402,0.9986418753777131,-0.018311024393005387,-0.07140195456075285,0.034779905774742076,0.020186479405199673,0.014135145443522568,0.9317166866746698,0.008845283857327108,0.0007337169059966258,0.2146370524867047
RetCam,fractal_d1,50,1.3873379745252437,0.09772828604857403,1.4084574351972856,0.141296445567493,1.3627461301071464,0.9229850555361456,0.8696556882700486,0.998026894620119,-0.02459184441809733,-0.08230875745622507,0.0331250686200304,0.025966048510355503,0.019275395984545418,0.9266266506602642,0.00955081789399191,0.0008671496383410036,0.26569634606555526
RetCam,fractal_d2,50,1.3774650844295915,0.09801375199679029,1.3986909797759983,0.1444535669837781,1.3502154591874218,0.9111590907327007,0.8507016139421525,0.9974630720391403,-0.027249625242169662,-0.08728502628073113,0.03278577579639182,0.029053912337001143,0.021366382409355622,0.924033613445378,0.00960669558048831,0.0009382156856156053,0.296426896686422
Neo,tort_geodesic_median,50,1.0789624373931985,0.004811998284469686,1.0793375884621597,0.005107349701925612,1.084026361099033,0.21758291380817094,0.02336029965641507,0.4462914650652749,0.005063923705834337,-0.007389366672265762,0.017517214083934435,0.005926955554308058,0.005058618958370675,0.14268562114236477,2.3155327489739202e-05,4.0369752509704424e-05,1.231703588390046
Neo,tort_geodesic_p90,50,1.1302547133681806,0.0330328250684998,1.1228188226644753,0.016261537369647305,1.1433471781123614,0.24752735673831258,-0.007865604679451327,0.473286677038937,0.013092464744180861,-0.057532368934151264,0.08371729842251299,0.026290117879303212,0.018316090447430433,0.34511404561824727,0.0010911675320061087,0.001298382739507517,0.7958785791038365
Neo,vessel_density_fov,50,0.06827301095429891,0.01919608125756872,0.06449579586860987,0.01800101391333775,0.06833828992255041,0.7743166413070938,0.6332067989487401,0.967674018889577,6.527896825149072e-05,-0.030208976816927257,0.03033953475343024,0.012863132020381154,0.010596805161787994,0.751452581032413,0.0003684895356471811,0.00023858042569409335,0.6700915591982827
Neo,skel_density_fov,50,0.016704613750810143,0.0049861200273394295,0.01567867912688864,0.006250543139615141,0.011672885166341084,0.5473005352895488,0.3909227761883714,0.9435334442021217,-0.005031728584469061,-0.01001988408857769,-4.357308036043086e-05,0.005066319565550904,0.005258355532868598,0.8164705882352942,2.4861392927035352e-05,6.476909447409732e-06,1.0160845582881544
Neo,tort_geodesic_top3_mean,50,1.2330373403671206,0.09506592643804425,1.204826623210189,0.13030985126337713,1.2129402856822329,0.24806015374685303,-0.024017661198117768,0.46899845669760604,-0.020097054684887764,-0.20259457921622356,0.16240046984644804,0.06803535338110947,0.04609793900222725,0.36153661464585835,0.009037530369523641,0.008669654951079112,0.7156649698822325
Neo,n_branches,50,84.6,40.32470251164987,77.0,41.5,69.14,0.6744245075795688,0.5009886530664532,0.9373492801660679,-15.46,-72.66395203130637,41.74395203130637,25.22,17.5,0.7128275432774033,1626.0816326530612,851.8044897959185,0.6254230888055257
Neo,width_shape_p90_over_p50,50,1.2933472566056592,0.20266810565959392,1.3416407864998738,0.29617957362320024,1.6272996998148144,0.13577713180616266,0.01130317194056816,0.31109462419115136,0.3339524432091555,-0.15358441462172323,0.8214893010400343,0.3488832376006624,0.29617957362320024,0.20281783561738298,0.04107436105164833,0.061873226713766785,1.721451120615174
Neo,fractal_d0,50,1.4429133659751991,0.06795821573254536,1.4416858058905553,0.08957086433185424,1.364985707847039,0.5694341593301085,0.40978441740230315,0.9415372299973567,-0.07792765812815995,-0.16812215174316075,0.012266835486840849,0.07855192670434105,0.07584678092871533,0.8203121248499399,0.0046183190855511765,0.0021176193977682266,1.1558856549955348
