holdout,e2_in_domain_val_auc,e8_in_domain_val_auc,e2_holdout_auc,e8_holdout_auc,e2_holdout_auprc,e8_holdout_auprc,e2_holdout_brier,e8_holdout_brier,e2_n,e8_n,delta_holdout_auc
farabi,0.9556423771913575,0.9675401222613293,0.7743557276925368,0.8033014300610756,0.7601610362477279,0.7846437531555783,0.2230835171129052,0.2550914483069792,1410,1410,0.028945702368538773
farfum_rop,0.9070106793734424,0.9233848577590102,0.9025337471180752,0.907050962401516,0.7305602708933444,0.7673599565979208,0.14645716410920398,0.09066110946486189,1529,1529,0.004517215283440734
plus,0.9250978339440166,0.9372865724469702,0.9485153949495225,0.9213048633666008,0.7209736178404994,0.6119247968354139,0.2404127721418648,0.13125589463908852,5931,5931,-0.02721053158292175
