multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus,model,source,n
,,0.8167838724800751,0.48646393445970987,0.21499985064083652,0.08617025302016962,0.9140021878418503,,0.9326300984528832,J0_FROZEN_FUSION_CONTROL,plus,889
,,0.8204875761837788,0.4878621519432473,0.2115385563811146,0.08562369897743716,0.9025863416158775,,0.9207219878105954,J1_BIOMARKER_FILM,plus,889
,,0.7201359587435536,0.4882041895464715,0.13562219002027218,0.053584781046119176,0.8985779027973122,,0.9091576808876386,E_RGB_VESSEL_FEATURE_FUSION,plus,889
,,0.7195186747929364,0.7286070735152252,0.13629852378568744,0.052189312857142844,0.9089076418190343,,0.9154242850445382,G_RGB_VESSEL_SCALAR_FUSION,plus,889
0.8589158979637054,0.8589158979637054,0.6426933500104232,0.5557119995587393,0.7398144015382513,0.36082028668859734,0.8649875198547765,0.7379571026722925,0.9738030713640471,J0_FROZEN_FUSION_CONTROL,farfum_rop,230
0.8601406497347809,0.8601406497347809,0.6619241192411924,0.5948007775229326,0.6744871228942625,0.30462540439937424,0.8623402163225172,0.7398909985935302,0.9781907342882953,J1_BIOMARKER_FILM,farfum_rop,230
0.8732939311960001,0.8732939311960001,0.7406278229448962,0.7350613217612841,0.4159249628446431,0.16984720565217393,0.8525830118750473,0.78665611814346,0.9806426635694928,E_RGB_VESSEL_FEATURE_FUSION,farfum_rop,230
0.8703209921432865,0.8703209921432865,0.7342175665346398,0.7299793158179707,0.42731524445374625,0.1703032699130435,0.8528099236063837,0.7813818565400844,0.9767711962833914,G_RGB_VESSEL_SCALAR_FUSION,farfum_rop,230
0.799321733084419,0.799321733084419,0.528916060806345,0.45431299692356863,0.6625045834529929,0.3081585464050185,0.8348581354950781,0.6600285947712419,0.9030784689869371,J0_FROZEN_FUSION_CONTROL,farabi,212
0.7993618985895656,0.7993618985895656,0.5167988543732099,0.44523809523809527,0.6503165294931192,0.2994398650414539,0.8421540243196295,0.6534926470588236,0.9024390243902439,J1_BIOMARKER_FILM,farabi,212
0.8214372148966437,0.8214372148966437,0.6094924793206352,0.6128836807569839,0.5407633791343955,0.21654679900943385,0.8181818181818181,0.7473447712418301,0.898785055266283,E_RGB_VESSEL_FEATURE_FUSION,farabi,212
0.8328758318426703,0.8328758318426703,0.6374762162270424,0.6393526152562297,0.5125439661416,0.19889702688679256,0.8295309785755645,0.768484477124183,0.9006120398282634,G_RGB_VESSEL_SCALAR_FUSION,farabi,212
