comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
J1_minus_J0,multiclass_auc,-0.002123493272045973,-0.004426881503477212,0.00014290076786115913,0.0682,True,10000,42
J1_minus_J0,balanced_accuracy,-0.00566482861476969,-0.019503930164236797,0.006811771722399938,0.401,True,10000,42
J1_minus_J0,macro_f1,0.003336185626259258,-0.007632877773301258,0.013962942823195303,0.5496,True,10000,42
J1_minus_J0,brier,-0.015541872370025134,-0.02262545205057653,-0.008573212791016697,0.0002,False,10000,42
J1_minus_J0,ece,-0.014037536397005418,-0.02274371155003778,-0.004675949806561574,0.0021,False,10000,42
J1_minus_J0,auc_Normal,-0.0010723101792144973,-0.003988702081594633,0.001937489422790658,0.4656,True,10000,42
J1_minus_J0,auc_Pre_Plus,-0.00019791291831605662,-0.0036823797529086377,0.0032265803046659406,0.9089,True,10000,42
J1_minus_J0,auc_Plus,-0.0051002567186073655,-0.00877214304599594,-0.00191046405513062,0.0039,False,10000,42
J1_minus_E,multiclass_auc,-0.005210693392201926,-0.011814852602512822,0.0013081022181046526,0.1192,True,10000,42
J1_minus_E,balanced_accuracy,0.054678934885816655,0.0241632623727435,0.08578417495785379,0.0007,False,10000,42
J1_minus_E,macro_f1,-0.03605655103769878,-0.06166253467084925,-0.009333002899152397,0.0071,False,10000,42
J1_minus_E,brier,0.11283562312716058,0.08725263752268536,0.13844048580897483,0.0,False,10000,42
J1_minus_E,ece,0.06146801219952755,0.04146373642453751,0.08071999236125271,0.0,False,10000,42
J1_minus_E,auc_Normal,0.0051748084430931485,-0.001864579625231344,0.012313330493291863,0.1534,True,10000,42
J1_minus_E,auc_Pre_Plus,-0.019749310303466494,-0.03182274799088398,-0.008071998320738962,0.0011,False,10000,42
J1_minus_E,auc_Plus,-0.0010575783162328767,-0.010490494588439874,0.00814569847077582,0.8205,True,10000,42
J1_minus_G,multiclass_auc,-0.0072497007028523575,-0.014299759065989643,-0.00038300191013835926,0.0424,False,10000,42
J1_minus_G,balanced_accuracy,0.050833039829716764,0.021541884126164253,0.08160250364385313,0.001,False,10000,42
J1_minus_G,macro_f1,-0.040648428631859246,-0.06559295942995633,-0.014436082149086378,0.0015,False,10000,42
J1_minus_G,brier,0.11491037148698385,0.08979935111693782,0.1399209221637743,0.0,False,10000,42
J1_minus_G,ece,0.06153057264280323,0.041340581175901545,0.07975832914145566,0.0,False,10000,42
J1_minus_G,auc_Normal,0.0028025957200963347,-0.0044585125380049466,0.010027376735391951,0.454,True,10000,42
J1_minus_G,auc_Pre_Plus,-0.02102075086961741,-0.03348461676862186,-0.008882091879573114,0.0009,False,10000,42
J1_minus_G,auc_Plus,-0.0035309469590359965,-0.013667813797985534,0.006145148359474321,0.4874,True,10000,42
