model,n,multiclass_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus
J0_FROZEN_FUSION_CONTROL,1331,0.9297541300718213,0.795392410854947,0.6851779907881254,0.37696705579679635,0.16764773378060513,0.9339106787504596,0.915881012354564,0.9394706991104401
J1_BIOMARKER_FILM,1331,0.9276306367997753,0.7897275822401774,0.6885141764143846,0.3614251834267712,0.1536101973835997,0.9328383685712451,0.9156830994362479,0.9343704423918328
E_RGB_VESSEL_FEATURE_FUSION,1331,0.9328413301919772,0.7350486473543607,0.7245707274520834,0.24858956029961063,0.09214218518407216,0.927663560128152,0.9354324097397144,0.9354280207080656
G_RGB_VESSEL_SCALAR_FUSION,1331,0.9348803375026277,0.7388945424104606,0.7291626050462439,0.24651481193978736,0.09207962474079648,0.9300357728511488,0.9367038503058653,0.9379013893508688
