split,n,gamma_mean,gamma_std,gamma_p05,gamma_p50,gamma_p95,beta_mean,beta_std,beta_p05,beta_p50,beta_p95,mean_abs_gamma_minus_1,mean_abs_beta
val,1328,0.9995746612548828,0.001701897126622498,0.9970629811286926,0.9996196627616882,1.0018341541290283,-1.7712751287035644e-05,0.001834808848798275,-0.002628997201099992,-7.622159500897396e-06,0.002515391679480672,0.0011684315977618098,0.0012104606721550226
test,1331,0.9995803236961365,0.0016850426327437162,0.9969969391822815,0.9996242523193359,1.001923680305481,-5.98246015215409e-06,0.0018190073315054178,-0.002695439849048853,1.080274614650989e-06,0.0026160457637161016,0.0011900198878720403,0.0012376197846606374
