comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
J1_minus_J0,multiclass_auc,-0.002123493272045973,-0.004426881503477212,0.00014290076786115913,0.0682,True,10000,42
J1_minus_J0,balanced_accuracy,-0.00566482861476969,-0.019503930164236797,0.006811771722399938,0.401,True,10000,42
J1_minus_J0,macro_f1,0.003336185626259258,-0.007632877773301258,0.013962942823195303,0.5496,True,10000,42
J1_minus_J0,brier,-0.015541872370025134,-0.02262545205057653,-0.008573212791016697,0.0002,False,10000,42
J1_minus_J0,ece,-0.014037536397005418,-0.02274371155003778,-0.004675949806561574,0.0021,False,10000,42
J1_minus_J0,auc_Normal,-0.0010723101792144973,-0.003988702081594633,0.001937489422790658,0.4656,True,10000,42
J1_minus_J0,auc_Pre_Plus,-0.00019791291831605662,-0.0036823797529086377,0.0032265803046659406,0.9089,True,10000,42
J1_minus_J0,auc_Plus,-0.0051002567186073655,-0.00877214304599594,-0.00191046405513062,0.0039,False,10000,42
