model,n,multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier,ece,auc_Normal,auc_Pre_Plus,auc_Plus
D_VESSEL_MAP,1331,0.8372146170734421,0.8372146170734421,0.6200316798290858,0.5887355845085315,0.3812297346426997,0.08001028327096411,0.8228135084821924,0.829884850665707,0.8589454920724271
E_RGB_VESSEL_FEATURE_FUSION,1331,0.9328413301919772,0.9328413301919772,0.7350486473543607,0.7245707274520834,0.24858956021948145,0.09214219583057087,0.927663560128152,0.9354324097397144,0.9354280207080656
F_RGB_VESSEL_LATE_FUSION,1331,0.9249031083308822,0.9249031083308822,0.7234246744430043,0.708655713902151,0.2762827385453241,0.10281727351612116,0.9167624694355125,0.9312822358162408,0.9266646197408932
G_RGB_VESSEL_SCALAR_FUSION,1331,0.9348803375026277,0.9348803375026277,0.7388945424104606,0.7291626050462439,0.2465148123142023,0.0920795947873082,0.9300357728511488,0.9367038503058653,0.9379013893508688
