metric,delta_E_minus_B,ci95_lo,ci95_hi,p_two_sided_null_centered
multiclass_auc,0.007938221861095052,0.0028521091839819822,0.013193176390499368,0.001
balanced_accuracy,0.011623972911356417,-0.011154176289641146,0.03444119985670511,0.3155
macro_f1,0.01591501354993241,-0.00575841368435587,0.03694245943418608,0.1415
brier,-0.02769317872643176,-0.04399549668024965,-0.011462563209403264,0.0015
ece,-0.01067507629565001,-0.025978977193386068,0.0038695746478840678,0.167
