n,classes_present,multiclass_auc,macro_ovr_auc,balanced_accuracy,macro_f1,brier_multiclass_3col,ece,auc_Normal,auc_Pre_Plus,auc_Plus,restricted_binary_auc,restricted_pair,brier_restricted_2class,held_out_source,model
5925,"[0, 2]",,,0.941727963946634,0.8741798243610959,0.21135418353692728,0.23208185599323064,0.9852813663555351,,0.989322311359822,0.989322311359822,Normal_vs_Plus,0.10798706849848928,plus,K0
5925,"[0, 2]",,,0.9419165008998769,0.8709068203361655,0.20965137337210749,0.23111371372319475,0.9855685740169968,,0.9898077712442589,0.9898077712442589,Normal_vs_Plus,0.11310762346731108,plus,K1
5925,"[0, 2]",,,0.9019694369758309,0.8887237534477685,0.10454493781337904,0.01657711814177215,0.9729314369126816,,0.9845785273108376,0.9845785273108376,Normal_vs_Plus,0.06570260933468682,plus,TASK11_E_LOSO
1528,"[0, 1, 2]",0.8329251289204936,0.8329251289204936,0.6254485093397227,0.5716029860166447,0.6459371002354121,0.2604802738075481,0.812482860276978,0.7293385136481372,0.9569540128363657,,,,farfum_rop,K0
1528,"[0, 1, 2]",0.8301291037805519,0.8301291037805519,0.6281755255953304,0.5593409023683397,0.7001904243970414,0.2995596301220162,0.8111802413273003,0.7261805140466229,0.9530265559677324,,,,farfum_rop,K1
1528,"[0, 1, 2]",0.8097790006662761,0.8097790006662761,0.6635160748131459,0.6589655294903555,0.5106849505629315,0.18318575832460723,0.7779925956396545,0.6896194461048017,0.9617249602543719,,,,farfum_rop,TASK11_E_LOSO
1409,"[0, 1, 2]",0.7919160162216142,0.7919160162216142,0.5372627910554585,0.5011240803596776,0.599321238855371,0.2176346322633934,0.7992573483427142,0.7062954845988109,0.8701952157233175,,,,farabi,K0
1409,"[0, 1, 2]",0.7910328110577881,0.7910328110577881,0.5345707508607204,0.5034804056444172,0.5944817414290345,0.21710694948775788,0.7965316864707108,0.7067878972822519,0.8697788494204015,,,,farabi,K1
1409,"[0, 1, 2]",0.7828978568034796,0.7828978568034796,0.5860404237959663,0.5720472429461094,0.6187126340678922,0.23910733814762247,0.7774624765478424,0.7001368583608437,0.8710942355017526,,,,farabi,TASK11_E_LOSO
