comparison,metric,delta,ci95_lo,ci95_hi,p_two_sided_null_centered,ci_crosses_zero,replicates,seed
K1_minus_K0_farfum_rop,multiclass_auc,-0.0027960251399417047,-0.006546223903369697,0.000985257063893718,0.1428,True,10000,42
K1_minus_K0_farfum_rop,balanced_accuracy,0.0027270162556076727,-0.007247344705503636,0.012701307680387134,0.5865,True,10000,42
K1_minus_K0_farfum_rop,macro_f1,-0.012262083648305055,-0.02373983185479979,-0.0012397562943556627,0.0317,False,10000,42
K1_minus_K0_farfum_rop,brier_multiclass_3col,0.05425332416162931,0.048319396749255936,0.0601517320957994,0.0,False,10000,42
K1_minus_K0_farfum_rop,ece,0.03907935631446807,0.030697571939705855,0.051016339692847856,0.0,False,10000,42
