split,attn_resnet_mean,attn_resnet_std,attn_resnet_p05,attn_resnet_p50,attn_resnet_p95
val,0.5335198044776917,0.3990924060344696,0.0104816015809774,0.5997036695480347,0.9929757118225098
test,0.5110781192779541,0.3893235325813293,0.0087117049843072,0.5140659213066101,0.9925132989883424
