label,delta,lo,hi,p,reps
"M0 - B embedding
(dual-RGB embedding vs original RGB embedding)",-0.0189254537799368,-0.0325939305263461,-0.0056398201339086,0.0063,10000
"M1 - M0
(+ spatial vessel representation)",0.0209356933785853,0.0114256580690374,0.0308283103815818,0.0,10000
"M1 - E
(dual-RGB + vessel vs original + vessel)",-0.0059279822624465,-0.0155651019672797,0.0034768867586814,0.221,10000
"M1 - G
(dual-RGB + vessel vs RGB + vessel + biomarkers)",-0.0079669895730969,-0.0174426789086773,0.0013055239608903,0.0949,10000
