split,n,gamma_mean,gamma_std,gamma_p05,gamma_p50,gamma_p95,beta_mean,beta_std,beta_p05,beta_p50,beta_p95,mean_abs_gamma_minus_1,mean_abs_beta,value_mean__
val,1328,0.9995746612548828,0.0017018971266224,0.9970629811286926,0.9996196627616882,1.0018341541290283,-1.7712751287035644e-05,0.0018348088487982,-0.0026289972010999,-7.622159500897396e-06,0.0025153916794806,0.0011684315977618,0.001210460672155,0.9995746612548828
test,1331,0.9995803236961364,0.0016850426327437,0.9969969391822816,0.999624252319336,1.001923680305481,-5.98246015215409e-06,0.0018190073315054,-0.0026954398490488,1.080274614650989e-06,0.0026160457637161,0.001190019887872,0.0012376197846606,0.9995803236961364
