held_out_source,model,domain_predictability_acc_cv5
plus,K0,0.8900030111412225
farfum_rop,K0,0.9650264253683536
farabi,K0,0.9894273127753304
plus,K1,0.8801565793435712
farfum_rop,K1,0.9659272901985908
farabi,K1,0.9823788546255507
