model,auc_Normal,auc_Pre_Plus,auc_Plus
B_EMBEDDING_ONLY,0.9167624694355124,0.9312822358162408,0.9266646197408932
C_PRIMARY,0.9187349365951016,0.9353664387669426,0.9238628900886148
D_VESSEL_MAP,0.8228135084821924,0.829884850665707,0.8589454920724271
E_RGB_VESSEL_FEATURE_FUSION,0.927663560128152,0.9354324097397144,0.9354280207080656
G_RGB_VESSEL_SCALAR_FUSION,0.9300357728511488,0.9367038503058652,0.9379013893508688
