epoch,attn_resnet_mean,attn_effnet_mean
1,0.48223260045051575,0.5177673697471619
2,0.5335198044776917,0.4664802551269531
3,0.5015567541122437,0.49844324588775635
4,0.5525074005126953,0.4474925696849823
5,0.5908409953117371,0.40915900468826294
6,0.6003978252410889,0.39960214495658875
7,0.6343594193458557,0.3656406104564667
