Held-out source,Representation,median |SMD|,p90 |SMD|,p95 |SMD|,standardized centroid distance
plus,RGB embedding,0.5405779480934143,1.8314231634140012,2.5359537601470947,56.51119995117188
plus,Vessel embedding,1.2290631532669067,2.3344826698303223,2.629620313644409,63.4040412902832
farfum-rop,RGB embedding,0.3792561590671539,0.8431428670883179,1.108606457710266,26.03782081604004
farfum-rop,Vessel embedding,0.5565483570098877,0.7306907773017883,0.7579237222671509,22.952974319458008
farabi,RGB embedding,0.4965658783912658,1.125847339630127,1.4846912622451782,35.25287628173828
farabi,Vessel embedding,0.6972278356552124,0.8828936219215393,0.9279728531837464,28.323993682861328
