Held-out source,Model,N,3-class AUC,Restricted binary AUC,Balanced accuracy,Macro F1,Brier,ECE
Plus (restricted Normal-vs-Plus),B,5925,,0.9838243794978664,0.8886543562055071,0.8679208114059452,0.1308097492108765,0.0324123143194094
Plus (restricted Normal-vs-Plus),E,5925,,0.9845785273108376,0.9019694369758308,0.8887237534477685,0.1045449377378003,0.0165770888881844
Plus (restricted Normal-vs-Plus),G,5925,,0.9841322321075092,0.9028533747203824,0.8885832747461146,0.0969106219249335,0.0171399214448808
FARFUM-RoP,B,1528,0.7875370112781918,,0.6328400227284467,0.6338783703687039,0.5475088440481967,0.2143011322118225
FARFUM-RoP,E,1528,0.8097790006662761,,0.6635160748131459,0.6589655294903555,0.5106849507139544,0.1831857632865144
FARFUM-RoP,G,1528,0.8061976238424267,,0.657584427040494,0.6514236796243681,0.5204126784547822,0.1990685222270601
Farabi,B,1409,0.7699439273173366,,0.5598275475861736,0.5320855846715713,0.6484283465402606,0.2582890581077849
Farabi,E,1409,0.7828978568034796,,0.5860404237959663,0.5720472429461094,0.6187126346719254,0.2391073549783678
Farabi,G,1409,0.7844768717564466,,0.5746243673381288,0.5630770231176842,0.613727141598047,0.2471848036736947
