Model,Input / architecture,AUC,Balanced accuracy,Macro F1,Brier,ECE
Scalar biomarkers,5 biomarkers -> XGBoost,0.6595817131339546,0.4984956605548309,0.434635086527289,0.5674779631837089,0.0501811342524417
RGB CNN,RGB -> EfficientNet-B5 (2048) -> linear classifier,0.913333991495336,0.6986468207177823,0.6847886980879307,0.2622688483524145,0.0496847202629601
RGB embedding,RGB -> EfficientNet-B5 (2048) -> XGBoost,0.9249031083308822,0.7234246744430043,0.708655713902151,0.2762827389459132,0.1028172721262208
RGB + biomarkers,2048 RGB + 5 biomarkers (2053) -> XGBoost,0.9259880884835529,0.7204167380124075,0.7093470126516402,0.2690275909098956,0.09856440675432
Vessel map CNN,Vessel map -> EfficientNet-B4 (1792) -> linear classifier,0.8372146170734421,0.6200316798290858,0.5887355845085315,0.3812297346426997,0.0800102832709641
RGB + vessel,2048 RGB + 1792 vessel (3840) -> XGBoost,0.9328413301919772,0.7350486473543607,0.7245707274520834,0.2485895602194814,0.0921421958305708
RGB + vessel late fusion,alpha-weighted late fusion of B_EMBEDDING_ONLY and D (alpha = 1.0),0.9249031083308822,0.7234246744430043,0.708655713902151,0.2762827385453241,0.1028172735161211
RGB + vessel + biomarkers,2048 RGB + 1792 vessel + 5 biomarkers (3845) -> XGBoost,0.9348803375026276,0.7388945424104606,0.7291626050462439,0.2465148123142023,0.0920795947873082
