RGB representation,RGB-only AUC,RGB + vessel AUC,Delta AUC,95% CI,p,Delta macro F1,Delta Brier
Original single-backbone (EfficientNet-B5),0.9249031083308822,0.9328413301919772,0.007938221861095,"[+0.002630, +0.013131]",0.0031,0.0159150135499324,-0.0276931786463025
Dual-backbone attention (ResNet50 + EfficientNet-B4),0.9059776545509454,0.9269133479295308,0.0209356933785853,"[+0.011426, +0.030828]",<0.0001,0.040403986700316,-0.0491814559404898
