Model,Normal AUC,Pre-Plus AUC,Plus AUC
Scalar biomarkers,0.6531521542492662,0.766387789372676,0.5592051957799214
RGB CNN,0.9032761629094472,0.914999400263884,0.9217264113126764
RGB embedding,0.9167624694355124,0.9312822358162408,0.9266646197408932
RGB + biomarkers,0.9187349365951016,0.9353664387669426,0.9238628900886148
Vessel map CNN,0.8228135084821924,0.829884850665707,0.8589454920724271
RGB + vessel,0.927663560128152,0.9354324097397144,0.9354280207080656
RGB + vessel + biomarkers,0.9300357728511488,0.9367038503058652,0.9379013893508688
