grouping,value,n,attn_resnet_mean,attn_effnet_mean
true_class,Normal,982,0.6439042687416077,0.3560958206653595
true_class,Pre_Plus,140,0.10717364400625229,0.8928263783454895
true_class,Plus,209,0.15754422545433044,0.8424558043479919
source,plus,889,0.7079101800918579,0.2920898199081421
source,farfum_rop,230,0.18793120980262756,0.81206876039505
source,farabi,212,0.036267220973968506,0.9637327194213867
